id,name,host_id,host_name,latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bedroom_count,bathroom_count,bed_count,district_Central & Western,district_Eastern,district_Islands,district_Kowloon City,district_Kwai Tsing,district_Kwun Tong,district_North,district_Sai Kung,district_Sha Tin,district_Sham Shui Po,district_Southern,district_Tai Po,district_Tsuen Wan,district_Tuen Mun,district_Wan Chai,district_Wong Tai Sin,district_Yau Tsim Mong,district_Yuen Long
72571,Rental unit in Sheung Wan,304876,Brendan,22.28463,114.15054,62.660000000000004,28,151,9,0,0,1,0,0,0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132773,Rental unit in Hong Kong Island,304876,Brendan,22.28921,114.14325,191.75,5,247,9,0,24,1,0,0,0,2,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163664,Rental unit in Sheung Wan,304876,Brendan,22.28494,114.14901,80.08,2,225,9,0,0,1,0,0,0,2,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163742,Rental unit in Sheung Wan,304876,Brendan,22.28657,114.14889,157.3,4,244,9,336,10,1,0,0,0,2,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248140,Rental unit in Sheung Wan,1300549,Darren,22.28228,114.14923,97.5,2,196,1,82,26,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274589,Rental unit in Hong Kong Island,1435069,Shanshan,22.27924,114.16995,209.95000000000002,4,274,1,235,26,1,0,0,0,2,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
280746,Rental unit in Hong Kong,1443229,Alice,22.46592,113.98207,136.11,3,46,4,307,7,1,0,0,0,3,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
463214,Condo in Sai Wan,2296168,Arnaud,22.28537,114.14238,166.79,3,19,1,0,0,1,0,0,0,2,2.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505456,Rental unit in Sheung Wan,1189239,Audrey,22.28543,114.1489,114.92,1,274,1,243,29,1,0,0,0,1,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562683,Rental unit in Wan Chai,2767794,Check Inn HK,22.27825,114.17699,49.4,1,113,46,365,0,0,0,0,1,1,3.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
562808,Rental unit in Wan Chai,2767794,Check Inn HK,22.27825,114.17699,49.4,1,25,46,365,0,0,0,0,1,1,2.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
562817,Rental unit in Wan Chai,2767794,Check Inn HK,22.27825,114.17699,50.18,1,176,46,362,11,0,0,0,1,1,3.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
562840,Rental unit in Wan Chai,2767794,Check Inn HK,22.2782412,114.1769881,49.4,1,29,46,365,1,0,0,0,1,1,3.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
603049,Bed and breakfast in Hong Kong,2846701,Veronica,22.25552,113.86369,210.21,1,46,3,41,2,0,1,0,0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603050,Bed and breakfast in Hong Kong,2846701,Veronica,22.25575,113.86351,157.17000000000002,1,29,3,44,1,0,1,0,0,1,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603085,Rental unit in Sheung Wan,2376514,Sun-Ok,22.28589,114.14975,132.86,3,4,4,365,0,0,0,1,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603232,Rental unit in Discovery Bay,2986287,Tish,22.29313,114.01591,156.0,10,36,1,1,2,1,0,0,0,2,2.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645404,Hostel in Hong Kong,634820,Wontonmeen,22.32532,114.16433,33.800000000000004,1,182,3,26,36,0,1,0,0,1,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
